axis0,axis1,axis2,axis3,axis4,axis5,label,filename,timestep,split
-1.5119383335113525,1.3682862520217896,13.550582885742188,77.76641845703125,-45.074462890625,-58.6395263671875,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,43,training
-1.8471266031265259,0.333991140127182,13.795390129089355,81.96258544921875,-34.271240234375,-56.915283203125,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,44,training
-2.1775264739990234,0.0011971008498221636,13.46259593963623,91.62139892578125,-24.8260498046875,-55.8624267578125,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,45,training
-2.363077163696289,-0.9684545993804932,14.151527404785156,92.93365478515625,-15.72418212890625,-57.2967529296875,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,46,training
-2.583343744277954,-1.4245500564575195,13.8067626953125,91.796875,-2.227783203125,-51.1932373046875,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,47,training
-2.7922377586364746,-1.0133458375930786,13.278243064880371,88.470458984375,6.72149658203125,-54.66461181640625,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,48,training
-3.095702886581421,-1.3658920526504517,12.667720794677734,87.4786376953125,9.857177734375,-56.64825439453125,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,49,training
-3.4075474739074707,-1.9596540927886963,13.246519088745117,85.7086181640625,15.09857177734375,-57.9986572265625,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,50,training
-3.553593873977661,-2.27748441696167,13.848661422729492,82.1685791015625,23.67401123046875,-59.95941162109375,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,51,training
-3.7684733867645264,-3.1304187774658203,14.055161476135254,78.91845703125,37.139892578125,-62.43133544921875,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,52,training
-3.977367639541626,-3.9037458896636963,13.721768379211426,71.3653564453125,44.7235107421875,-64.50653076171875,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,53,training
-4.117428302764893,-4.7387237548828125,13.433267593383789,65.765380859375,51.53656005859375,-63.77410888671875,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,54,training
-4.206612586975098,-5.601833343505859,13.581109046936035,50.72784423828125,56.44989013671875,-61.126708984375,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,55,training
-4.080916881561279,-7.073668956756592,14.192827224731445,37.628173828125,64.93377685546875,-52.31475830078125,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,56,training
-3.7612907886505127,-6.836642742156982,14.25926685333252,23.65875244140625,79.12445068359375,-42.44232177734375,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,57,training
-3.57753586769104,-7.104793548583984,13.746907234191895,21.2554931640625,89.80560302734375,-34.04998779296875,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,58,training
-3.293224334716797,-6.554127216339111,12.921506881713867,26.98516845703125,100.52490234375,-22.674560546875,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,59,training
-2.8616695404052734,-5.680243492126465,12.895769119262695,6.561279296875,112.518310546875,-24.17755126953125,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,60,training
-2.5719711780548096,-5.08648157119751,11.333552360534668,8.392333984375,127.92205810546875,-24.04022216796875,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,61,training
-2.6791117191314697,-5.157110691070557,9.777320861816406,8.056640625,129.85992431640625,-21.881103515625,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,62,training
-2.430713176727295,-5.440224647521973,8.955511093139648,2.288818359375,128.89862060546875,-17.4713134765625,circle,circle.69md0drd.ingestion-cbb7cbcfb-cbvwl,63,training
